mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000001127	257.54	259.84	220.39	334.07
ENSMUSG00000001128	38.53	40.46	17.04	15.49
ENSMUSG00000001131	22.43	4.24	11.95	0.0
ENSMUSG00000001134	46.42	39.13	25.43	32.5
ENSMUSG00000001138	32.24	30.42	67.83	12.27
ENSMUSG00000001143	40.09	38.83	37.73	39.25
ENSMUSG00000001150	25.7	30.34	26.19	31.76
ENSMUSG00000001151	5.15	10.7	6.26	6.72
ENSMUSG00000001155	0.0	0.0	0.0	0.0
ENSMUSG00000001156	9.11	15.92	10.05	11.23
ENSMUSG00000001157	28.26	31.81	35.27	32.18
ENSMUSG00000001158	41.85	69.69	72.99	63.2
ENSMUSG00000001166	2.01	0.0	0.0	0.0
ENSMUSG00000001168	0.0	0.0	0.0	0.0
ENSMUSG00000001173	64.66	33.82	39.42	49.09
ENSMUSG00000001175	417.11	495.9	582.62	691.49
ENSMUSG00000001211	66.04	98.88	81.61	47.75
ENSMUSG00000001225	0.0	0.84	0.0	0.0
ENSMUSG00000001227	26.12	31.66	50.72	46.44
ENSMUSG00000001228	36.85	55.8	33.75	27.47
ENSMUSG00000001229	44.64	43.72	38.69	38.35
ENSMUSG00000001240	72.85	58.59	133.44	145.45
ENSMUSG00000001247	12.05	21.49	29.86	21.25
ENSMUSG00000001248	296.16	297.78	290.81	300.6
ENSMUSG00000001249	2.39	0.0	15.2	0.0
ENSMUSG00000001260	2.32	1.68	7.75	18.02
ENSMUSG00000001270	1067.6	1375.76	938.06	1005.23
ENSMUSG00000001280	18.59	45.69	28.97	11.6
ENSMUSG00000001281	0.0	0.0	0.0	0.0
ENSMUSG00000001285	92.64	69.08	140.24	71.24
ENSMUSG00000001288	29.41	7.29	6.11	12.16
ENSMUSG00000001289	333.88	464.6	376.93	572.89
ENSMUSG00000001300	70.18	68.4	82.75	56.97
ENSMUSG00000001305	13.48	22.23	14.36	20.03
ENSMUSG00000001313	115.31	213.41	75.14	103.54
ENSMUSG00000001323	42.24	55.28	40.21	41.24
ENSMUSG00000001333	0.0	0.0	0.0	0.0
ENSMUSG00000001334	11.53	6.38	6.36	10.86
ENSMUSG00000001348	12.83	0.0	0.0	24.2
ENSMUSG00000001349	0.0	1.26	0.0	1.28
ENSMUSG00000001366	94.86	57.51	66.03	87.22
ENSMUSG00000001376	23.61	20.11	38.45	22.52
ENSMUSG00000001379	39.66	27.79	46.0	46.34
ENSMUSG00000001380	51.63	83.74	63.88	74.72
ENSMUSG00000001383	69.99	67.52	51.53	40.58
ENSMUSG00000001403	163.17	231.99	31.91	57.95
ENSMUSG00000001415	72.2	60.46	50.86	56.37
ENSMUSG00000001416	258.0	358.94	281.12	261.93
ENSMUSG00000001417	0.0	0.0	0.0	0.0
ENSMUSG00000001418	68.32	43.57	32.57	46.44
ENSMUSG00000001419	40.11	46.5	46.12	30.63
ENSMUSG00000001420	1.99	0.0	2.2	0.0
ENSMUSG00000001424	123.79	123.85	77.89	94.7
ENSMUSG00000001435	47.87	29.36	9.22	13.74
ENSMUSG00000001436	36.26	51.14	35.57	72.28
ENSMUSG00000001440	176.15	104.88	121.32	110.38
ENSMUSG00000001441	141.89	89.63	139.8	94.14
ENSMUSG00000001444	0.0	0.0	0.0	0.0
ENSMUSG00000001445	39.14	48.65	51.37	55.33
ENSMUSG00000001467	58.42	64.41	95.04	85.79
ENSMUSG00000001472	245.99	198.66	284.3	301.57
ENSMUSG00000001473	78.19	40.15	20.95	23.22
ENSMUSG00000001482	50.18	45.67	41.78	48.49
ENSMUSG00000001493	1.82	0.0	0.0	0.0
ENSMUSG00000001494	1.98	0.0	0.0	0.0
ENSMUSG00000001496	18.24	45.59	18.58	7.4
ENSMUSG00000001497	1.75	0.0	0.0	0.0
ENSMUSG00000001504	141.0	41.14	28.71	21.29
ENSMUSG00000001506	368.89	119.51	34.02	153.59
ENSMUSG00000001507	23.83	23.59	26.29	30.55
ENSMUSG00000001508	0.0	0.0	0.0	0.0
ENSMUSG00000001510	1.52	2.24	0.0	0.0
ENSMUSG00000001517	38.4	68.63	25.93	17.81
ENSMUSG00000001518	25.32	27.69	19.23	24.32
