mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000001467	59.0	88.0	87.0	115.0
ENSMUSG00000001472	170.0	193.0	185.0	265.0
ENSMUSG00000001473	33.0	23.0	8.0	13.0
ENSMUSG00000001482	40.0	49.0	30.0	51.0
ENSMUSG00000001493	1.0	0.0	0.0	0.0
ENSMUSG00000001494	1.0	0.0	0.0	0.0
ENSMUSG00000001496	13.0	44.0	12.0	7.0
ENSMUSG00000001497	1.0	0.0	0.0	0.0
ENSMUSG00000001504	38.0	23.0	6.0	7.0
ENSMUSG00000001506	543.0	239.0	38.0	295.0
ENSMUSG00000001507	21.0	28.0	27.0	49.0
ENSMUSG00000001508	0.0	0.0	0.0	0.0
ENSMUSG00000001510	1.0	2.0	0.0	0.0
ENSMUSG00000001517	37.0	79.0	19.0	19.0
ENSMUSG00000001518	15.0	22.0	10.0	20.0
ENSMUSG00000001520	6.0	3.0	4.0	8.0
ENSMUSG00000001521	31.0	27.0	12.0	27.0
ENSMUSG00000001524	6.0	14.0	5.0	8.0
ENSMUSG00000001525	1568.0	2549.0	1625.0	2347.0
ENSMUSG00000001542	2.0	2.0	1.0	0.0
ENSMUSG00000001552	58.0	44.0	45.0	50.0
ENSMUSG00000001555	40.0	16.0	9.0	24.0
ENSMUSG00000001558	0.0	0.0	0.0	0.0
ENSMUSG00000001566	0.0	0.0	0.0	0.0
ENSMUSG00000001569	12.0	14.0	12.0	14.0
ENSMUSG00000001576	82.0	113.0	84.0	124.0
ENSMUSG00000001583	0.0	0.0	1.0	0.0
ENSMUSG00000001588	1.0	1.0	0.0	0.0
ENSMUSG00000001604	0.0	0.0	1.0	0.0
ENSMUSG00000001622	0.0	0.0	0.0	0.0
ENSMUSG00000001627	18.0	36.0	30.0	49.0
ENSMUSG00000001630	3.0	9.0	9.0	13.0
ENSMUSG00000001632	41.0	63.0	26.0	49.0
ENSMUSG00000001642	27.0	39.02	23.0	39.53
ENSMUSG00000001655	0.0	0.0	0.0	0.0
ENSMUSG00000001656	0.0	0.0	0.0	0.0
ENSMUSG00000001657	0.0	3.0	0.0	0.0
ENSMUSG00000001661	0.0	6.0	1.0	0.0
ENSMUSG00000001663	3.0	5.0	3.0	8.0
ENSMUSG00000001665	1.0	1.0	0.0	0.0
ENSMUSG00000001666	4.0	8.0	5.0	10.0
ENSMUSG00000001670	0.0	0.0	0.0	0.0
ENSMUSG00000001672	0.0	0.0	1.0	1.0
