mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000084310	0.0	0.0	0.0	0.0
ENSMUSG00000084941	1.0	3.0	1.0	0.0
ENSMUSG00000084955	0.0	0.0	0.0	0.0
ENSMUSG00000084962	0.0	0.0	0.0	0.0
ENSMUSG00000085018	0.0	0.0	0.0	0.0
ENSMUSG00000085039	3.0	1.0	1.0	3.0
ENSMUSG00000085043	0.0	0.0	0.0	0.0
ENSMUSG00000085048	0.0	1.0	0.0	0.0
ENSMUSG00000085180	2.0	1.0	1.0	1.0
ENSMUSG00000085205	0.0	0.0	0.0	0.0
ENSMUSG00000085367	0.0	0.0	0.0	0.0
ENSMUSG00000085394	0.0	0.0	0.0	0.0
ENSMUSG00000085656	0.0	0.0	0.0	0.0
ENSMUSG00000085685	0.0	0.0	0.0	0.0
ENSMUSG00000085963	0.0	0.0	0.0	0.0
ENSMUSG00000085978	0.0	0.0	0.0	0.0
ENSMUSG00000086032	0.0	0.0	0.0	0.0
ENSMUSG00000086049	0.0	0.0	0.0	0.0
ENSMUSG00000086065	0.0	0.0	0.0	0.0
ENSMUSG00000086230	0.0	0.0	0.0	0.0
ENSMUSG00000086445	0.0	0.0	0.0	0.0
ENSMUSG00000086458	0.0	0.0	0.0	0.0
ENSMUSG00000086566	38.0	33.0	48.0	31.0
ENSMUSG00000086619	0.0	0.0	0.0	0.0
ENSMUSG00000087055	0.0	0.0	0.0	0.0
ENSMUSG00000087111	0.0	0.0	0.0	0.0
ENSMUSG00000087221	31.0	29.0	26.0	26.0
ENSMUSG00000087262	0.0	0.0	0.0	0.0
ENSMUSG00000087285	0.0	0.0	0.0	0.0
ENSMUSG00000087291	0.0	0.0	0.0	0.0
ENSMUSG00000087580	0.0	0.0	0.0	0.0
ENSMUSG00000087687	6.0	6.0	10.0	6.0
ENSMUSG00000087697	1.0	0.0	0.0	1.0
ENSMUSG00000089665	1.0	1.0	1.0	3.0
ENSMUSG00000089690	0.0	0.0	0.0	0.0
ENSMUSG00000089699	0.0	0.0	0.0	0.0
ENSMUSG00000089942	0.0	0.0	0.0	0.0
ENSMUSG00000089956	0.0	0.0	0.0	0.0
ENSMUSG00000090025	0.0	0.0	0.0	0.0
ENSMUSG00000090318	0.0	0.0	0.0	0.0
ENSMUSG00000090324	0.0	0.0	0.0	0.0
ENSMUSG00000090364	0.0	1.0	0.0	0.0
ENSMUSG00000090423	0.0	0.0	0.0	0.0
ENSMUSG00000090487	0.0	0.0	0.0	0.0
ENSMUSG00000090537	69.01	120.26	58.41	112.32
ENSMUSG00000090577	0.0	0.0	0.0	0.0
ENSMUSG00000090601	0.0	0.0	0.0	0.0
ENSMUSG00000090650	0.0	0.0	0.0	0.0
ENSMUSG00000090684	0.0	0.0	0.0	0.0
ENSMUSG00000090699	0.0	0.0	0.0	0.0
ENSMUSG00000090701	0.0	0.0	0.0	0.0
ENSMUSG00000090795	0.0	0.0	0.0	0.0
ENSMUSG00000090929	0.0	0.0	0.0	1.0
ENSMUSG00000091010	0.0	0.0	0.0	0.0
ENSMUSG00000091028	0.0	0.0	0.0	0.0
ENSMUSG00000091057	0.0	0.0	0.0	0.0
ENSMUSG00000091119	0.0	0.0	0.0	0.0
ENSMUSG00000091249	0.0	0.0	0.0	0.0
ENSMUSG00000091289	0.0	0.0	0.0	0.0
ENSMUSG00000091292	0.0	0.0	0.0	0.0
ENSMUSG00000091304	0.0	0.0	0.0	0.0
ENSMUSG00000091339	0.0	0.0	0.0	0.0
ENSMUSG00000091483	0.0	0.0	0.0	0.0
ENSMUSG00000091488	11.0	17.0	12.0	16.0
ENSMUSG00000091516	0.0	0.0	0.0	0.0
ENSMUSG00000091530	1.0	4.0	1.0	1.0
ENSMUSG00000091539	0.0	0.0	0.0	0.0
ENSMUSG00000091559	2.0	0.0	0.0	1.0
ENSMUSG00000091598	0.0	0.0	0.0	0.0
ENSMUSG00000091599	0.0	0.0	0.0	0.0
ENSMUSG00000091607	8.0	2.0	7.0	5.0
ENSMUSG00000091644	0.0	0.0	0.0	0.0
ENSMUSG00000091749	0.0	0.0	0.0	0.0
ENSMUSG00000091834	0.0	0.0	0.0	0.0
ENSMUSG00000091840	49.51	50.33	72.52	90.69
ENSMUSG00000091849	0.0	0.0	0.0	0.0
ENSMUSG00000091936	0.0	0.0	0.0	0.0
ENSMUSG00000092030	2.0	0.0	0.0	0.0
ENSMUSG00000092101	0.0	0.0	0.0	0.0
ENSMUSG00000092108	49.51	50.33	72.52	90.69
ENSMUSG00000092168	0.0	0.0	0.0	0.0
ENSMUSG00000092286	0.0	0.0	0.0	0.0
